"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122","Fluxo completo usuário","","Tue Mar 10 09:42:00 UTC 2026","failed","Tue Mar 10 09:42:00 UTC 2026","","Cadastro, Login, Atualização e Exclusão","",""
"","132","Deve criar um novo usuário","","Tue Mar 10 09:41:58 UTC 2026","failed","Tue Mar 10 09:41:58 UTC 2026","","Cadastrar usuário","",""
"","123","Cadastra usuário, loga, cria produto e deleta produto","","Tue Mar 10 09:41:54 UTC 2026","failed","Tue Mar 10 09:41:55 UTC 2026","","Apagar Produto","",""
"","145","Não deve realizar login","","Tue Mar 10 09:42:06 UTC 2026","failed","Tue Mar 10 09:42:06 UTC 2026","","Login Inválido","",""
"","120","Cadastra usuário, faz login e cadastra produto","","Tue Mar 10 09:41:53 UTC 2026","failed","Tue Mar 10 09:41:53 UTC 2026","","Cadastrar Produto","",""
"","139","Deve testar a API e, se estiver OK, realizar login","","Tue Mar 10 09:41:56 UTC 2026","failed","Tue Mar 10 09:41:56 UTC 2026","","Fluxo condicional de API - Serverest","",""
"","122","Deve listar todos os usuários","","Tue Mar 10 09:42:04 UTC 2026","failed","Tue Mar 10 09:42:04 UTC 2026","","Deve listar todos os usuários","",""
"","435","should return 200 OK when accessing serverest.dev","","Tue Mar 10 09:41:50 UTC 2026","failed","Tue Mar 10 09:41:51 UTC 2026","","HealthCheck","",""
"","162","Deve realizar login com sucesso","","Tue Mar 10 09:42:09 UTC 2026","failed","Tue Mar 10 09:42:09 UTC 2026","","Login","",""
"","121","Deve encontrar o usuário Hora do QA","","Tue Mar 10 09:42:02 UTC 2026","failed","Tue Mar 10 09:42:02 UTC 2026","","Deve listar todos os usuários Hora do QA","",""
